model,samples,positives,threshold,precision,recall,f1,pr_auc,roc_auc,brier_score,false_positive_rate,false_negative_rate,confusion_matrix,total_cost,cost_per_transaction,review_count,review_rate,false_flags,approved_fraud,reviewed_fraud,expected_review_misses,review_threshold,flag_threshold
logistic_regression,6000,136,0.21,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.21,0.21
logistic_regression,6000,136,0.22,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.22,0.22
logistic_regression,6000,136,0.23,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.23,0.23
logistic_regression,6000,136,0.24,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.24,0.24
logistic_regression,6000,136,0.25,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.25,0.25
logistic_regression,6000,136,0.26,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.26,0.26
logistic_regression,6000,136,0.27,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.27,0.27
logistic_regression,6000,136,0.28,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.28,0.28
logistic_regression,6000,136,0.29,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.29,0.29
logistic_regression,6000,136,0.3,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.3,0.3
logistic_regression,6000,136,0.31,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.31,0.31
logistic_regression,6000,136,0.32,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.32,0.32
logistic_regression,6000,136,0.33,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.33,0.33
logistic_regression,6000,136,0.34,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.34,0.34
logistic_regression,6000,136,0.35000000000000003,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.35000000000000003,0.35000000000000003
logistic_regression,6000,136,0.36,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.36,0.36
logistic_regression,6000,136,0.37,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.37,0.37
logistic_regression,6000,136,0.38,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.38,0.38
logistic_regression,6000,136,0.39,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.39,0.39
logistic_regression,6000,136,0.4,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.4,0.4
logistic_regression,6000,136,0.41000000000000003,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.41000000000000003,0.41000000000000003
