model,selected,cv_pr_auc,validation_pr_auc,threshold,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_roc_auc,test_pr_auc
Logistic Regression · weighted,False,0.7399457989832413,0.7030429494393693,0.9999936684110922,0.9994184612131252,0.8604651162790697,0.7789473684210526,0.8176795580110497,0.7939914163090128,0.9636431372512587,0.7347902343825957
Logistic Regression · SMOTE,False,0.7289285352475326,0.6948668593694348,0.9303651678883086,0.9992246149508336,0.7524752475247525,0.8,0.7755102040816326,0.7900207900207901,0.9648027767429199,0.7295039744555526
Logistic Regression · undersampling,False,0.7103052102683133,0.6748352515673142,0.7341401762256322,0.9988369224262503,0.6106870229007634,0.8421052631578947,0.7079646017699115,0.7827788649706457,0.9670962281522415,0.7241767185453957
Random Forest,True,0.8035375221890364,0.7929948528939481,0.2877936236332483,0.9995418179254926,0.9156626506024096,0.8,0.8539325842696629,0.8207343412526998,0.9508207687140748,0.834795257912867
Histogram Gradient Boosting,False,0.8420240039012367,0.7891367998767997,0.4634816977132352,0.9995241955380115,0.8863636363636364,0.8210526315789474,0.8524590163934426,0.8333333333333334,0.9673950104471607,0.859687122851564
XGBoost,False,0.8393653595743887,0.790005953933457,0.07237451523542404,0.9994537059880872,0.826530612244898,0.8526315789473684,0.8393782383419689,0.8472803347280334,0.9752032992403162,0.8671835451166453
