model,selected,cv_pr_auc,validation_pr_auc,validation_recall,validation_precision,validation_f2,threshold,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_roc_auc,test_pr_auc
XGBoost,False,0.7302694553100362,0.8069775274691817,0.7850304612706701,0.6781954887218045,0.7610529868376645,0.17450372874736786,0.9964904751686813,0.6478669558929863,0.7825327510917031,0.7088607594936709,0.7512996813684387,0.9920952219239642,0.7960872629003314
XGBoost · random oversampling,True,0.7688380027105118,0.8404146772172267,0.8189730200174065,0.7397798742138365,0.8018064076346285,0.7957711219787598,0.9969530076532437,0.6931297709923664,0.7930131004366813,0.7397148676171079,0.7707979626485568,0.9958212619808875,0.8045471052296237
